Time (s),Altitude (ft),Smoothed Speed (ft/s),Smoothed Acceleration (ft/s^2),Longitude,Latitude
0,4610,0,,-106.90998,32.94751
0.8341666667,4611,1.198801199,,-106.90998,32.94751
4.838166667,4612,0.2497502498,1.259424336,-106.90998,32.94751
7.841166667,4636,7.992007992,56.66855067,-106.90998,32.94751
8.842166667,4812,175.8241758,160.3801904,-106.90994,32.94753
9.676333333,5175,435.1648352,193.9186355,-106.90979,32.94756
10.67733333,5714,538.4615385,155.1798253,-106.9095,32.94756
11.84516667,6413,598.5443128,135.6645896,-106.90908,32.94756
12.84616667,7265,851.1488511,243.5420601,-106.90854,32.94751
13.68033333,8272,1207.192807,170.6927296,-106.90786,32.94746
14.68133333,9374,1039.925788,105.2652085,-106.90709,32.94735
15.68233333,10483,1096.051481,-53.68847712,-106.90629,32.94728
16.85016667,11572,1037.618782,-1.441335342,-106.90548,32.94717
18.68533333,13649,1018.60922,-32.01219768,-106.90387,32.947
19.68633333,14629,982.930613,-32.33187605,-106.90308,32.94689
20.85416667,15568,923.3779208,-35.85580797,-106.90229,32.94682
21.68833333,16464,905.9185712,-45.4988499,-106.90151,32.94671
22.68933333,17316,841.2819092,-46.07495659,-106.90075,32.94664
23.85716667,18123,779.7108272,-43.54603147,-106.89999,32.94656
25.69233333,19610,755.2232554,-48.26472789,-106.89852,32.94638
26.69333333,20290,676.416348,-47.81798782,-106.8978,32.9463
27.86116667,20930,616.4104199,-50.10250404,-106.89708,32.94623
29.69633333,22091,579.3454441,-46.05778367,-106.89569,32.94607
30.69733333,22614,512.6848319,-37.41886919,-106.895,32.946
32.86616667,23549,457.4543481,-38.63350735,-106.89364,32.94587
34.70133333,24341,413.7021819,-37.97681274,-106.89231,32.94572
35.70233333,24685,349.0136237,-36.89728788,-106.89165,32.94566
37.70433333,25271,304.515265,-42.61525967,-106.89034,32.94551
38.70533333,25513,263.4793778,-34.10908942,-106.88969,32.94546
39.87316667,25723,217.8107607,-42.50521394,-106.88905,32.94538
40.70733333,25899,178.2584762,-40.57866603,-106.88841,32.94531
41.70833333,26043,143.0080124,-39.01839914,-106.88777,32.94525
42.70933333,26155,108.5489649,-32.15167298,-106.88714,32.94518
43.87716667,26233,77.2333418,-33.34927658,-106.88651,32.94513
44.87816667,26279,38.38647438,-27.87797357,-106.88588,32.94505
46.71333333,26280,5.333812755,-26.76067576,-106.88465,32.94492
47.88116667,26234,-22.0673575,-20.79030954,-106.88426,32.94492
48.88216667,26173,-42.98521516,-25.00006763,-106.88385,32.94492
49.71633333,26100,-68.54407188,-23.43054282,-106.88343,32.9449
50.71733333,26020,-87.31750624,-19.95375911,-106.88311,32.94495
51.88516667,25927,-99.54076179,-12.23414113,-106.88288,32.94497
53.72033333,25683,-113.2698898,-7.807501005,-106.88256,32.94508
54.72133333,25552,-118.7501239,-5.12079368,-106.88239,32.9451
56.89016667,25281,-123.9693944,-7.388167611,-106.8821,32.9452
57.72433333,25150,-135.8840104,-6.129214914,-106.88197,32.94523
58.72533333,25024,-137.5836095,-4.739307176,-106.88188,32.94528
59.89316667,24888,-135.5244442,-0.2589787491,-106.88179,32.94536
60.72733333,24752,-136.2270383,-0.1207272519,-106.88165,32.94538
62.72933333,24462,-138.795898,-0.144451925,-106.88157,32.94546
63.89716667,24326,-136.819852,-0.2167301116,-106.88149,32.94556
64.89816667,24196,-137.8800164,1.237502825,-106.88138,32.94559
65.73233333,24050,-135.3111567,0.6427745094,-106.88135,32.94561
67.90116667,23807,-135.5109569,2.365517776,-106.88125,32.94566
68.90216667,23683,-131.3977232,2.764718975,-106.88122,32.94569
69.73633333,23562,-127.8298624,2.949404364,-106.88117,32.94574
70.5705,23440,-127.4445335,1.478250811,-106.88111,32.94574
71.90516667,23323,-127.8507207,1.989133297,-106.88104,32.94574
72.90616667,23218,-122.0351077,4.344420368,-106.881,32.94577
73.5735,23103,-117.0115599,4.060921715,-106.88098,32.94577
74.5745,22988,-118.1675467,2.319084003,-106.8809,32.94577
75.90916667,22877,-117.3877143,1.337374933,-106.88085,32.94577
76.91016667,22767,-112.8004648,7.959837671,-106.8808,32.94582
77.5775,22664,-100.3129524,7.98911582,-106.88077,32.94579
78.74533333,22568,-99.528023,7.164235793,-106.88069,32.94582
79.91316667,22483,-97.06619911,3.873202104,-106.88065,32.94582
80.91416667,22398,-88.21790454,9.744107483,-106.88059,32.94582
81.5815,22325,-76.01582091,8.033245204,-106.88054,32.94582
82.5825,22259,-79.04340557,5.438097958,-106.88051,32.94584
83.91716667,22195,-77.63664907,1.030251392,-106.88045,32.94582
84.91816667,22126,-72.57028686,4.996804116,-106.8804,32.94587
85.5855,22057,-66.64763808,3.077175904,-106.88033,32.94589
86.5865,21994,-71.35721421,0.8197881753,-106.8803,32.94587
87.92116667,21928,-73.64064507,-1.211860781,-106.88027,32.94587
88.92216667,21860,-70.85771371,2.958366024,-106.88022,32.94589
89.5895,21794,-65.64863708,1.960363028,-106.88017,32.94589
90.5905,21730,-70.35821322,0.5168229801,-106.88009,32.94589
91.92516667,21664,-72.42757243,-1.134634359,-106.88004,32.94592
92.92616667,21597,-69.57328386,2.857377625,-106.87997,32.94595
93.5935,21533,-64.72099329,1.924720064,-106.87992,32.94595
94.5945,21469,-69.07378336,0.493061004,-106.87986,32.946
95.92916667,21405,-71.00042814,-0.992062502,-106.8798,32.94602
96.93016667,21340,-68.18181818,2.738567745,-106.87976,32.94607
97.5975,21277,-63.61495647,1.841553147,-106.87969,32.94612
98.5985,21214,-67.7536749,0.261381737,-106.87961,32.94618
99.93316667,21151,-70.32253461,-1.211860781,-106.87953,32.94623
100.9341667,21087,-67.89638932,2.625698359,-106.87948,32.94625
101.6015,21025,-62.97274154,1.627695363,-106.87946,32.94628
102.6025,20959,-67.89638932,0.2940544542,-106.87945,32.9463
103.9371667,20895,-70.00142714,-2.236596,-106.87942,32.94638
104.9381667,20835,-70.21549879,1.541558199,-106.87938,32.94643
105.6055,20770,-65.93406593,2.06729192,-106.87931,32.94646
