Time (s),Telemega Altitude MSL (ft),Telemega Speed (ft/s),Telemega Acceleration (ft/s^2),Telemega Mach,Telemega Temperature (F),,Featherweight Altitude (ft),Featherweight Speed (ft/s),Featherweight Acceleration (ft/s^2),Longitude,Latitude
-1.73,4255.479003,0,-4.9540684,0,85.73,,4612,0.2497502498,1.259424336,-106.90998,32.94751
-0.72,4260.104987,19.16010499,42.9133872,0.017,85.600715,,4636,7.992007992,56.66855067,-106.90998,32.94751
-0.08,4291.732283,89.86220472,178.1824204,0.079,85.600715,,4812,175.8241758,160.3801904,-106.90994,32.94753
0.43,4362.860892,187.6312336,206.2336024,0.164,84.99173,,4812,175.8241758,160.3801904,-106.90994,32.94753
0.94,4462.5,322.8674541,331.6273072,0.282,84.99173,,5175,435.1648352,193.9186355,-106.90979,32.94756
1.45,4616.896325,434.8753281,117.1587964,0.381,83.799149,,5175,435.1648352,193.9186355,-106.90979,32.94756
1.96,4796.91601,520.7020997,226.049876,0.456,83.799149,,5714,538.4615385,155.1798253,-106.9095,32.94756
2.47,5016.240157,610.4986877,133.6614216,0.535,82.028939,,5714,538.4615385,155.1798253,-106.9095,32.94756
2.98,5293.307087,674.6062992,123.7532848,0.591,82.028939,,6413,598.5443128,135.6645896,-106.90908,32.94756
3.49,5583.005249,747.7690289,169.947512,0.656,80.543975,,6413,598.5443128,135.6645896,-106.90908,32.94756
4,5709.711286,828.2480315,153.4448868,0.727,80.543975,,7265,851.1488511,243.5420601,-106.90854,32.94751
4.51,6404.232283,906.660105,161.6797952,0.798,76.846892,,7265,851.1488511,243.5420601,-106.90854,32.94751
5.02,6746.423885,995.3740157,194.6850456,0.877,76.846892,,8272,1207.192807,170.6927296,-106.90786,32.94746
5.53,7165.288714,1100.328084,227.690296,0.97,75.353153,,8272,1207.192807,170.6927296,-106.90786,32.94746
6.55,8107.316273,1219.094488,13.1889768,1.08,70.123721,,9374,1039.925788,105.2652085,-106.90709,32.94735
7.06,8631.692913,1216.174541,-23.0971136,1.078,70.123721,,10483,1096.051481,-53.68847712,-106.90629,32.94728
7.57,9161.87664,1205.085302,-19.7834652,1.072,66.161399,,10483,1096.051481,-53.68847712,-106.90629,32.94728
8.08,9742.782152,1191.961942,-31.3648304,1.06,66.161399,,11572,1037.618782,-1.441335342,-106.90548,32.94717
8.59,10306.43045,1175.131234,-34.6456704,1.05,62.026151,,11572,1037.618782,-1.441335342,-106.90548,32.94717
9.1,10902.3622,1152.591864,-54.461944,1.029,62.026151,,11572,1037.618782,-1.441335342,-106.90548,32.94717
9.61,11239.37008,1125.164042,-54.461944,1.008,58.935128,,11572,1037.618782,-1.441335342,-106.90548,32.94717
10.12,11769.1273,1098.55643,-51.1482956,0.984,58.935128,,13649,1018.60922,-32.01219768,-106.90387,32.947
10.63,12296.42388,1075.62336,-39.5997388,0.967,55.274666,,13649,1018.60922,-32.01219768,-106.90387,32.947
11.14,12795.57087,1054.363517,-44.5538072,0.949,53.535929,,14629,982.930613,-32.33187605,-106.90308,32.94689
11.65,13283.13648,1029.494751,-54.461944,0.929,51.870551,,14629,982.930613,-32.33187605,-106.90308,32.94689
12.16,13750.13123,1006.233596,-37.9593188,0.908,51.870551,,15568,923.3779208,-35.85580797,-106.90229,32.94682
12.67,14207.77559,983.2677165,-52.7887156,0.89,48.58952,,15568,923.3779208,-35.85580797,-106.90229,32.94682
13.18,14670.17717,959.4816273,-41.2401588,0.868,48.58952,,16464,905.9185712,-45.4988499,-106.90151,32.94671
13.69,15131.33202,935.0393701,-56.102364,0.849,45.421862,,17316,841.2819092,-46.07495659,-106.90075,32.94664
14.2,15558.43176,908.9566929,-47.8346472,0.825,45.421862,,17316,841.2819092,-46.07495659,-106.90075,32.94664
14.71,15976.77165,885.5971129,-44.5538072,0.806,42.533834,,17316,841.2819092,-46.07495659,-106.90075,32.94664
15.22,16368.27428,861.515748,-51.1482956,0.784,42.533834,,18123,779.7108272,-43.54603147,-106.89999,32.94656
15.73,16763.05774,836.5813648,-47.8346472,0.764,39.726185,,18123,779.7108272,-43.54603147,-106.89999,32.94656
16.24,17155.57743,813.6811024,-42.9133872,0.743,39.726185,,18123,779.7108272,-43.54603147,-106.89999,32.94656
16.75,17530.64304,791.9947507,-42.9133872,0.725,37.110884,,19610,755.2232554,-48.26472789,-106.89852,32.94638
17.26,17888.94357,768.7007874,-49.5078756,0.704,37.110884,,19610,755.2232554,-48.26472789,-106.89852,32.94638
17.77,18241.43701,744.1929134,-47.8346472,0.683,34.630484,,20290,676.416348,-47.81798782,-106.8978,32.9463
18.28,18584.48163,721.6863517,-41.2401588,0.662,34.630484,,20290,676.416348,-47.81798782,-106.8978,32.9463
18.79,18914.69816,700.0328084,-44.5538072,0.644,32.328041,,20290,676.416348,-47.81798782,-106.8978,32.9463
19.3,19230.11811,679.5603675,-36.2860904,0.625,32.328041,,20930,616.4104199,-50.10250404,-106.89708,32.94623
19.81,19529.75722,659.1535433,-44.5538072,0.608,30.187175,,20930,616.4104199,-50.10250404,-106.89708,32.94623
20.32,19830.44619,638.32021,-37.9593188,0.588,30.187175,,20930,616.4104199,-50.10250404,-106.89708,32.94623
20.83,20100.75459,617.4868766,-44.5538072,0.57,28.240997,,22091,579.3454441,-46.05778367,-106.89569,32.94607
21.34,20376.1811,595.8989501,-41.2401588,0.55,28.240997,,22091,579.3454441,-46.05778367,-106.89569,32.94607
21.85,20641.63386,575.9186352,-37.9593188,0.533,26.363498,,22614,512.6848319,-37.41886919,-106.895,32.946
22.36,20902.65748,557.1194226,-36.2860904,0.515,26.363498,,22614,512.6848319,-37.41886919,-106.895,32.946
22.87,21150,537.5656168,-41.2401588,0.498,24.632015,,22614,512.6848319,-37.41886919,-106.895,32.946
23.38,21388.18898,517.6181102,-37.9593188,0.48,24.632015,,22614,512.6848319,-37.41886919,-106.895,32.946
23.89,21613.15617,498.8188976,-36.2860904,0.463,23.038709,,23549,457.4543481,-38.63350735,-106.89364,32.94587
24.4,21834.97375,479.2979003,-41.2401588,0.445,23.038709,,23549,457.4543481,-38.63350735,-106.89364,32.94587
24.91,22046.94882,460.5314961,-33.0052504,0.428,22.282772,,23549,457.4543481,-38.63350735,-106.89364,32.94587
25.42,22254.39633,443.339895,-34.6456704,0.413,20.849522,,23549,457.4543481,-38.63350735,-106.89364,32.94587
25.93,22448.85171,424.6391076,-39.5997388,0.395,20.849522,,24341,413.7021819,-37.97681274,-106.89231,32.94572
26.44,22640.12467,404.7900262,-39.5997388,0.377,19.56533,,24341,413.7021819,-37.97681274,-106.89231,32.94572
26.95,22808.95669,387.2047244,-29.691602,0.361,19.56533,,24685,349.0136237,-36.89728788,-106.89165,32.94566
27.46,22987.30315,369.324147,-41.2401588,0.345,18.360698,,24685,349.0136237,-36.89728788,-106.89165,32.94566
