Time (s),Combustion (psi),Feed (psi),Injector (psi),Ox Tank (psi)
0,-62.842,649.9582,636.5325,650.5882
0.044,-54.526,649.9582,636.8756,650.906
0.087,-55.282,650.2416,636.5325,650.906
0.132,-53.77,649.9582,636.8756,650.5882
0.176,-55.282,649.9582,636.8756,650.5882
0.22,-53.77,649.9582,636.8756,650.5882
0.263,-56.794,649.9582,636.8756,650.5882
0.311,-54.526,649.9582,636.8756,650.5882
0.354,-54.904,650.2416,636.8756,650.5882
0.395,-51.124,650.2416,636.8756,650.5882
0.438,-72.67,649.9582,636.5325,650.5882
0.483,-55.66,649.9582,636.5325,650.5882
0.526,-57.172,649.9582,636.5325,650.906
0.573,-54.526,650.2416,636.5325,650.906
0.616,-74.938,649.9582,636.8756,651.2238
0.676,-62.842,649.9582,636.8756,650.906
0.71,-52.258,649.9582,636.8756,650.906
0.75,-56.038,650.2416,636.5325,651.2238
0.795,-62.464,650.2416,636.5325,650.906
0.843,-70.78,650.2416,636.5325,651.2238
0.879,-61.708,649.9582,636.5325,651.2238
0.922,-54.526,649.9582,636.5325,650.906
0.969,-56.416,650.2416,636.5325,650.906
1.01,-54.904,650.2416,636.5325,650.906
1.055,-75.316,650.2416,636.5325,650.906
1.099,-54.904,649.9582,636.8756,651.2238
1.149,-54.526,649.9582,636.8756,651.2238
1.188,-54.526,649.9582,636.8756,651.2238
1.235,-11.434,649.9582,635.8463,650.906
1.276,-26.176,649.9582,635.8463,650.906
1.321,-7.276,649.9582,634.4739,649.317
1.363,-2.74,649.9582,634.4739,649.317
1.406,-8.032,649.9582,633.7877,648.3636
1.451,19.184,649.6748,633.1015,647.728
1.496,17.294,649.6748,632.0722,646.4568
1.54,13.136,650.2416,631.386,645.8212
1.585,-9.166,650.525,630.3567,644.8678
1.631,3.686,650.525,629.3274,644.2322
1.674,-18.238,650.525,629.3274,643.9144
1.718,0.662,650.525,628.2981,642.6432
1.763,7.844,650.525,627.6119,642.0076
1.809,-6.52,650.2416,625.8964,640.7364
1.851,9.734,650.2416,625.8964,640.7364
1.896,5.198,650.2416,625.5533,639.783
1.94,12.38,649.9582,624.524,638.5118
1.984,37.328,649.9582,624.1809,637.8762
2.029,64.922,649.9582,622.4654,636.605
2.077,136.364,649.9582,616.2896,635.3338
2.12,199.112,649.9582,616.2896,633.427
2.164,143.168,649.6748,611.4862,630.5668
2.208,108.392,649.3914,606.6828,626.4354
2.249,98.942,649.3914,604.2811,623.893
2.294,95.918,649.6748,602.2225,621.0328
2.34,108.77,649.3914,596.3898,618.4904
2.38,109.526,649.3914,596.3898,615.948
2.439,126.914,649.6748,591.2433,610.8632
2.478,130.316,649.3914,591.2433,610.8632
2.518,123.89,649.3914,588.4985,608.3208
2.558,125.402,649.108,586.0968,605.7784
2.603,124.268,649.108,583.352,603.5538
2.652,107.258,649.6748,579.5779,598.1512
2.7,112.55,649.6748,579.5779,598.1512
2.736,124.646,649.6748,577.5193,595.9266
2.779,129.182,649.6748,575.1176,594.0198
2.823,120.866,649.9582,573.059,592.113
2.869,117.464,650.2416,571.3435,591.7952
2.912,132.206,650.2416,571.3435,589.8884
2.955,124.268,650.2416,569.9711,588.2994
2.999,133.34,650.2416,568.2556,586.7104
3.042,144.302,649.6748,566.5401,584.8036
3.087,171.896,650.2416,565.1677,583.8502
3.13,168.494,650.2416,564.1384,583.5324
3.176,201.002,650.2416,561.7367,582.2612
3.222,197.6,649.9582,561.7367,582.2612
3.264,214.61,649.9582,561.3936,581.9434
3.308,217.634,649.9582,561.3936,581.9434
3.351,218.012,649.9582,561.0505,582.2612
3.395,235.778,649.9582,561.3936,583.2146
3.439,221.792,649.9582,562.766,584.4858
3.482,262.994,650.2416,563.1091,585.4392
3.525,290.966,649.9582,564.4815,586.7104
3.57,318.182,649.9582,566.5401,587.9816
3.616,316.292,649.9582,567.2263,589.5706
3.658,305.33,649.9582,568.2556,590.524
3.705,330.656,650.2416,569.628,591.7952
3.746,329.9,649.9582,571.0004,593.3842
3.791,332.546,650.2416,573.059,594.3376
3.836,341.996,650.2416,573.4021,595.6088
3.88,316.67,650.2416,574.4314,596.5622
3.923,339.728,650.2416,575.8038,597.5156
3.967,311.756,649.9582,575.8038,597.8334
4.011,313.646,650.2416,576.1469,598.1512
4.055,309.11,650.2416,576.1469,598.469
4.099,278.114,650.2416,575.8038,598.469
4.143,299.66,650.2416,575.8038,598.469
4.188,297.392,650.2416,575.4607,598.1512
4.231,309.11,650.2416,575.1176,598.1512
4.275,290.966,650.2416,575.1176,597.8334
4.323,299.66,650.2416,575.1176,597.1978
4.371,295.502,650.2416,573.4021,596.5622
4.408,289.076,650.2416,573.7452,595.9266
4.452,295.124,650.2416,573.7452,595.6088
4.498,289.454,650.2416,572.3728,594.3376
4.538,304.574,650.2416,571.3435,593.702
4.583,310.622,650.2416,571.0004,593.0664
4.627,281.894,650.2416,570.6573,592.4308
4.672,287.942,650.2416,570.3142,591.7952
4.714,286.43,650.2416,569.2849,590.8418
4.759,296.258,650.2416,568.2556,590.2062
4.802,287.186,650.2416,567.9125,589.5706
4.847,290.966,650.2416,565.5108,587.9816
4.891,289.076,649.9582,565.1677,587.9816
4.934,292.478,649.9582,565.1677,587.0282
4.978,303.062,649.9582,564.1384,585.757
5.024,271.31,650.2416,563.1091,585.1214
5.07,276.98,650.2416,561.3936,583.5324
5.11,276.98,650.2416,561.3936,583.5324
5.161,300.416,649.9582,560.7074,581.9434
5.198,272.822,649.9582,560.7074,581.9434
5.244,287.564,650.2416,558.3057,580.0366
5.285,301.55,650.2416,558.3057,580.0366
5.33,297.392,650.2416,557.6195,579.7188
5.373,291.344,650.2416,556.2471,578.7654
5.417,266.018,650.525,556.5902,578.1298
5.462,296.258,650.2416,553.8454,576.8586
5.506,292.1,650.2416,553.8454,576.8586
5.549,292.1,650.525,553.1592,575.5874
