Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
0,-94.53591,25.77665,-0.11309,657.48353,667.95469,666.12003
0.00333,-95.83691,25.58696,1.37664,656.1453,666.61652,665.78549
0.00667,-98.4394,25.96633,1.70768,657.14899,668.12196,666.95645
0.01,-97.13791,25.52373,-0.11309,656.64718,667.95469,667.29099
0.01333,-99.7404,25.77665,1.70768,656.31257,665.7801,665.61822
0.01667,-91.93391,25.90311,0.05243,657.81808,667.62014,667.12372
0.02,-108.8474,25.77665,1.04558,656.81445,667.11833,665.95276
0.02333,-99.7404,25.83988,0.88006,658.15262,667.78742,666.28737
0.02667,-99.7404,25.58696,0.38349,657.81808,667.2856,667.12372
0.03,-97.13791,25.90311,-0.44414,655.47621,667.2856,665.95276
0.03333,-102.3424,25.77665,1.87321,657.14899,666.78379,665.28367
0.03667,-110.1484,25.65019,2.20425,657.81808,667.11833,666.28737
0.04,-94.53591,25.46051,-0.94072,655.97803,666.44924,665.95276
0.04333,-107.5464,25.96633,0.88006,656.1453,666.78379,664.78186
0.04667,-95.83691,26.21927,1.54216,657.81808,666.44924,666.28737
0.05,-101.0414,25.71342,0.54901,658.15262,668.28929,666.28737
0.05333,-102.3424,25.58696,-0.44414,655.81076,667.11833,666.62191
0.05667,-101.0414,25.83988,2.86635,656.81445,665.7801,664.11277
0.06,-94.53591,25.90311,0.38349,659.15631,667.45287,666.28737
0.06333,-102.3424,25.46051,-0.27861,656.64718,667.62014,666.28737
0.06667,-98.4394,25.52373,0.54901,655.81076,665.94737,665.28367
0.07,-90.63291,25.71342,0.38349,657.14899,667.2856,665.78549
0.07333,-101.0414,25.46051,-0.60966,657.31626,667.45287,666.12003
0.07667,-104.9444,25.77665,0.21795,656.31257,666.11464,665.61822
0.08,-107.5464,26.21927,2.36977,657.81808,665.7801,665.45094
0.08333,-99.7404,25.77665,1.54216,658.31989,667.45287,666.62191
0.08667,-93.23491,25.46051,0.54901,658.82177,667.95469,666.78918
0.09,-99.7404,25.39728,-0.11309,657.6508,668.28929,666.62191
0.09333,-94.53591,25.83988,-0.44414,655.97803,667.2856,666.28737
0.09667,-102.3424,25.58696,1.2111,657.48353,665.44555,665.78549
0.1,-91.93391,25.90311,1.2111,657.98535,666.78379,665.1164
0.10333,-99.7404,25.71342,2.53531,658.48716,667.2856,665.28367
0.10667,-103.6434,25.46051,0.38349,655.81076,667.45287,667.12372
0.11,-99.7404,25.83988,-0.44414,657.31626,666.95106,665.28367
0.11333,-93.23491,25.90311,0.71453,655.81076,666.11464,664.44732
0.11667,-95.83691,26.02959,2.86635,656.64718,666.78379,665.28367
0.12,-102.3424,25.71342,1.87321,657.14899,667.78742,665.45094
0.12333,-97.13791,25.46051,-0.27861,657.48353,668.62384,665.95276
0.12667,-97.13791,25.71342,0.54901,655.47621,667.11833,666.12003
0.13,-112.7504,25.83988,2.20425,657.48353,666.44924,665.1164
0.13333,-101.0414,25.71342,2.70083,657.81808,668.28929,666.78918
0.13667,-102.3424,25.83988,-0.77518,657.14899,669.46019,667.29099
0.14,-93.23491,25.46051,0.05243,656.81445,664.77647,667.12372
0.14333,-106.2454,25.58696,2.20425,657.31626,666.44924,664.61459
0.14667,-106.2454,25.65019,1.2111,657.81808,668.95838,667.12372
0.15,-98.4394,25.46051,-0.77518,656.64718,667.11833,666.62191
0.15333,-90.63291,25.83988,0.05243,657.6508,666.11464,664.78186
0.15667,-104.9444,25.71342,1.37664,656.81445,667.95469,665.1164
0.16,-103.6434,25.27082,0.54901,657.81808,667.45287,665.95276
0.16333,-95.83691,25.65019,0.38349,657.6508,668.12196,666.45464
0.16667,-102.3424,25.46051,-0.60966,656.1453,666.95106,666.45464
0.17,-97.13791,25.71342,0.38349,656.1453,666.28197,664.94913
0.17333,-101.0414,25.83988,0.88006,658.82177,665.61282,665.1164
0.17667,-90.63291,25.71342,0.54901,657.81808,668.28929,665.95276
0.18,-106.2454,25.46051,0.05243,655.64348,667.11833,665.78549
0.18333,-112.7504,25.65019,1.04558,656.31257,665.11101,666.28737
0.18667,-104.9444,25.83988,1.54216,657.14899,667.2856,664.94913
0.19,-94.53591,25.90311,0.54901,656.47984,666.78379,666.78918
0.19333,-97.13791,25.52373,1.04558,655.81076,665.94737,665.95276
0.19667,-94.53591,26.34573,1.54216,656.98172,666.28197,665.45094
0.2,-104.9444,25.90311,1.2111,657.48353,667.2856,666.45464
0.20333,-94.53591,25.71342,-0.44414,656.1453,665.61282,667.62554
0.20667,-103.6434,26.21927,1.54216,657.31626,666.11464,665.1164
0.21,-95.83691,25.65019,0.71453,656.98172,667.2856,666.45464
0.21333,-106.2454,25.58696,-0.11309,654.9744,666.78379,666.78918
0.21667,-86.72991,25.77665,0.88006,656.98172,665.61282,665.1164
0.22,-106.2454,25.52373,0.05243,657.48353,667.2856,665.78549
0.22333,-102.3424,25.65019,1.04558,655.81076,666.28197,665.1164
0.22667,-101.0414,25.65019,1.04558,657.81808,666.78379,667.12372
0.23,-97.13791,25.52373,-1.60281,655.81076,666.95106,666.12003
0.23333,-101.0414,25.65019,1.2111,656.64718,666.11464,665.61822
0.23667,-99.7404,25.90311,1.2111,656.1453,665.11101,665.1164
0.24,-95.83691,25.96633,0.71453,657.81808,666.28197,664.61459
0.24333,-90.63291,25.83988,0.54901,656.98172,667.2856,665.95276
0.24667,-98.4394,25.46051,-0.77518,656.64718,667.62014,667.29099
0.25,-97.13791,25.77665,0.38349,656.47984,666.44924,665.45094
0.25333,-103.6434,25.83988,0.71453,657.14899,666.78379,665.1164
0.25667,-99.7404,25.46051,2.03873,657.48353,667.95469,666.12003
