Time (sec),Time Since Ignition (sec),LC1 Axial Load (lbf),PT1 Combustion Pressure (psi),PT2 Feedline Pressure (psi),PT3 Injector Pressure (psi),PT4 Ox-Tank Pressure (psi)
7910,0,-71.11742,0.38349,741.62353,745.90545,743.56898
7910.00333,0.00333,-71.11742,0.38349,741.95807,742.39269,743.40171
7910.00667,0.00667,-67.21442,1.54216,743.12904,743.73086,743.90352
7910.01,0.01,-80.22442,-0.60966,741.95807,744.73455,743.06717
7910.01333,0.01333,-75.02042,2.70083,742.62716,743.56359,742.06354
7910.01667,0.01667,-67.21442,-0.94072,743.46358,744.06547,742.73262
7910.02,0.02,-81.52591,-0.60966,740.2853,744.56728,743.06717
7910.02333,0.02333,-81.52591,1.2111,742.29262,743.89813,742.8999
7910.02667,0.02667,-77.62242,0.21795,741.7908,745.0691,743.90352
7910.03,0.03,-72.41842,0.21795,740.61984,743.39632,741.56166
7910.03333,0.03333,-75.02042,1.87321,742.62716,744.23274,743.40171
7910.03667,0.03667,-63.31093,-0.60966,740.95445,743.56359,741.72893
7910.04,0.04,-77.62242,1.54216,740.2853,745.73818,742.8999
7910.04333,0.04333,-72.41842,0.71453,740.78711,742.8945,742.8999
7910.04667,0.04667,-69.81642,0.54901,742.29262,745.0691,743.40171
7910.05,0.05,-76.32142,1.70768,740.78711,743.22905,742.23081
7910.05333,0.05333,-72.41842,2.03873,742.45989,744.06547,743.23444
7910.05667,0.05667,-60.70893,-0.11309,741.95807,742.55996,741.8962
7910.06,0.06,-71.11742,1.37664,743.12904,745.23637,741.8962
7910.06333,0.06333,-76.32142,-0.94072,741.62353,744.23274,742.73262
7910.06667,0.06667,-72.41842,0.88006,742.12535,743.22905,741.72893
7910.07,0.07,-78.92342,0.88006,742.79443,745.57091,743.23444
7910.07333,0.07333,-85.42891,1.04558,740.78711,743.56359,742.8999
7910.07667,0.07667,-64.61242,0.05243,742.29262,743.89813,742.8999
7910.08,0.08,-81.52591,-0.44414,741.62353,745.40364,742.73262
7910.08333,0.08333,-76.32142,0.54901,742.12535,742.39269,743.06717
7910.08667,0.08667,-76.32142,0.54901,742.29262,745.0691,744.07086
7910.09,0.09,-78.92342,0.21795,739.78348,743.89813,743.06717
7910.09333,0.09333,-73.71942,2.70083,741.7908,743.39632,742.56535
7910.09667,0.09667,-62.00993,-0.77518,743.29631,744.23274,743.23444
7910.1,0.1,-73.71942,1.04558,739.61621,743.56359,742.23081
