Time (s),Temperature (F),Speed (ft/s),Mach,Altitude MSL (ft),Acceleration (ft/s^2)
-1.73,85.73,0.0,0.0,4255.479003,-4.9540684
-1.65,85.713503,0.0,0.0,4255.479003,-4.9540684
-0.72,85.600715,19.16010499,0.017,4260.104987,42.9133872
-0.08,85.600715,89.86220472,0.079,4291.732283,178.1824204
0.0,85.347059,89.86220472,0.079,4291.732283,178.1824204
0.41,84.99173,89.86220472,0.079,4291.732283,178.1824204
0.43,84.99173,187.6312336,0.164,4362.860892,206.2336024
0.94,84.99173,322.8674541,0.282,4462.5,331.6273072
1.02,84.441128,322.8674541,0.282,4462.5,331.6273072
1.42,83.799149,322.8674541,0.283,4462.5,331.6273072
1.45,83.799149,434.8753281,0.381,4616.896325,117.1587964
1.96,83.799149,520.7020997,0.456,4796.91601,226.049876
2.04,83.017004,520.7020997,0.456,4796.91601,226.049876
2.41,82.028939,520.7020997,0.456,4796.91601,226.049876
2.47,82.028939,610.4986877,0.535,5016.240157,133.6614216
2.98,82.028939,674.6062992,0.591,5293.307087,123.7532848
3.06,80.995829,674.6062992,0.592,5293.307087,123.7532848
3.41,80.543975,674.6062992,0.592,5293.307087,123.7532848
3.49,80.543975,747.7690289,0.656,5583.005249,169.947512
4.0,80.543975,828.2480315,0.727,5709.711286,153.4448868
4.08,78.067202,828.2480315,0.729,5709.711286,153.4448868
4.41,76.846892,828.2480315,0.729,5709.711286,153.4448868
4.51,76.846892,906.660105,0.798,6404.232283,161.6797952
5.02,76.846892,995.3740157,0.877,6746.423885,194.6850456
5.1,75.353153,995.3740157,0.878,6746.423885,194.6850456
5.53,75.353153,1100.328084,0.97,7165.288714,227.690296
5.61,71.993732,1100.328084,0.973,7165.288714,227.690296
6.41,70.123721,1100.328084,0.975,7165.288714,227.690296
6.55,70.123721,1219.094488,1.08,8107.316273,13.1889768
7.06,70.123721,1216.174541,1.078,8631.692913,-23.0971136
7.14,68.233001,1216.174541,1.08,8631.692913,-23.0971136
7.41,66.161399,1216.174541,1.082,8631.692913,-23.0971136
7.57,66.161399,1205.085302,1.072,9161.87664,-19.7834652
8.08,66.161399,1191.961942,1.06,9742.782152,-31.3648304
8.17,64.151339,1191.961942,1.062,9742.782152,-31.3648304
8.41,62.026151,1191.961942,1.065,9742.782152,-31.3648304
8.59,62.026151,1175.131234,1.05,10306.43045,-34.6456704
9.1,62.026151,1152.591864,1.029,10902.3622,-54.461944
9.18,60.824327,1152.591864,1.031,10902.3622,-54.461944
9.41,58.935128,1152.591864,1.032,10902.3622,-54.461944
9.61,58.935128,1125.164042,1.008,11239.37008,-54.461944
10.12,58.935128,1098.55643,0.984,11769.1273,-51.1482956
10.2,57.054704,1098.55643,0.986,11769.1273,-51.1482956
10.41,55.274666,1098.55643,0.988,11769.1273,-51.1482956
10.63,55.274666,1075.62336,0.967,12296.42388,-39.5997388
10.71,53.535929,1075.62336,0.969,12296.42388,-39.5997388
11.14,53.535929,1054.363517,0.949,12795.57087,-44.5538072
11.22,51.870551,1054.363517,0.951,12795.57087,-44.5538072
11.65,51.870551,1029.494751,0.929,13283.13648,-54.461944
12.16,51.870551,1006.233596,0.908,13750.13123,-37.9593188
12.24,50.238518,1006.233596,0.909,13750.13123,-37.9593188
12.41,48.58952,1006.233596,0.91,13750.13123,-37.9593188
12.67,48.58952,983.2677165,0.89,14207.77559,-52.7887156
13.18,48.58952,959.4816273,0.868,14670.17717,-41.2401588
13.26,46.944968,959.4816273,0.87,14670.17717,-41.2401588
13.41,45.421862,959.4816273,0.871,14670.17717,-41.2401588
13.69,45.421862,935.0393701,0.849,15131.33202,-56.102364
14.2,45.421862,908.9566929,0.825,15558.43176,-47.8346472
14.28,43.929995,908.9566929,0.826,15558.43176,-47.8346472
14.41,42.533834,908.9566929,0.827,15558.43176,-47.8346472
14.71,42.533834,885.5971129,0.806,15976.77165,-44.5538072
15.22,42.533834,861.515748,0.784,16368.27428,-51.1482956
15.3,41.125973,861.515748,0.785,16368.27428,-51.1482956
15.41,39.726185,861.515748,0.786,16368.27428,-51.1482956
15.73,39.726185,836.5813648,0.764,16763.05774,-47.8346472
16.24,39.726185,813.6811024,0.743,17155.57743,-42.9133872
16.32,38.388641,813.6811024,0.744,17155.57743,-42.9133872
16.41,37.110884,813.6811024,0.745,17155.57743,-42.9133872
16.75,37.110884,791.9947507,0.725,17530.64304,-42.9133872
17.26,37.110884,768.7007874,0.704,17888.94357,-49.5078756
17.34,35.853836,768.7007874,0.704,17888.94357,-49.5078756
17.41,34.630484,768.7007874,0.705,17888.94357,-49.5078756
17.77,34.630484,744.1929134,0.683,18241.43701,-47.8346472
18.28,34.630484,721.6863517,0.662,18584.48163,-41.2401588
18.36,33.452879,721.6863517,0.663,18584.48163,-41.2401588
18.41,32.328041,721.6863517,0.664,18584.48163,-41.2401588
18.79,32.328041,700.0328084,0.644,18914.69816,-44.5538072
19.3,32.328041,679.5603675,0.625,19230.11811,-36.2860904
19.39,31.25948,679.5603675,0.626,19230.11811,-36.2860904
19.41,30.187175,679.5603675,0.626,19230.11811,-36.2860904
19.81,30.187175,659.1535433,0.608,19529.75722,-44.5538072
20.32,30.187175,638.32021,0.588,19830.44619,-37.9593188
20.4,29.223212,638.32021,0.589,19830.44619,-37.9593188
20.41,28.240997,638.32021,0.589,19830.44619,-37.9593188
20.83,28.240997,617.4868766,0.57,20100.75459,-44.5538072
21.34,28.240997,595.8989501,0.55,20376.1811,-41.2401588
21.41,27.29435,595.8989501,0.551,20376.1811,-41.2401588
21.42,26.363498,595.8989501,0.551,20376.1811,-41.2401588
21.85,26.363498,575.9186352,0.533,20641.63386,-37.9593188
22.36,26.363498,557.1194226,0.515,20902.65748,-36.2860904
22.41,25.481435,557.1194226,0.516,20902.65748,-36.2860904
22.44,24.632015,557.1194226,0.516,20902.65748,-36.2860904
22.87,24.632015,537.5656168,0.498,21150.0,-41.2401588
23.38,24.632015,517.6181102,0.48,21388.18898,-37.9593188
23.41,23.829746,517.6181102,0.48,21388.18898,-37.9593188
23.46,23.038709,517.6181102,0.481,21388.18898,-37.9593188
23.89,23.038709,498.8188976,0.463,21613.15617,-36.2860904
24.4,23.038709,479.2979003,0.445,21834.97375,-41.2401588
24.41,22.282772,479.2979003,0.445,21834.97375,-41.2401588
24.91,22.282772,460.5314961,0.428,22046.94882,-33.0052504
24.99,21.542981,460.5314961,0.428,22046.94882,-33.0052504
25.42,20.849522,443.339895,0.413,22254.39633,-34.6456704
25.93,20.849522,424.6391076,0.395,22448.85171,-39.5997388
26.01,20.167412,424.6391076,0.395,22448.85171,-39.5997388
26.41,19.56533,424.6391076,0.396,22448.85171,-39.5997388
26.44,19.56533,404.7900262,0.377,22640.12467,-39.5997388
26.95,19.56533,387.2047244,0.361,22808.95669,-29.691602000000003
27.03,18.929318,387.2047244,0.361,22808.95669,-29.691602000000003
27.42,18.360698,387.2047244,0.361,22808.95669,-29.691602000000003
27.46,18.360698,369.324147,0.345,22987.30315,-41.2401588
27.97,18.360698,349.5734908,0.326,23146.75197,-37.9593188
28.05,17.842037,349.5734908,0.326,23146.75197,-37.9593188
28.41,17.343383,349.5734908,0.326,23146.75197,-37.9593188
28.48,17.343383,329.855643,0.308,23292.1916,-41.2401588
28.99,17.343383,310.5643045,0.29,23432.021,-36.2860904
29.07,16.834082,310.5643045,0.29,23432.021,-36.2860904
29.41,16.407266,310.5643045,0.29,23432.021,-36.2860904
29.5,16.407266,291.9947507,0.273,23574.83596,-37.9593188
30.01,16.407266,274.507874,0.257,23694.521,-31.3648304
30.09,15.99332,274.507874,0.257,23694.521,-31.3648304
30.52,15.573524,258.4317585,0.242,23810.59711,-31.3648304
31.03,15.573524,241.6994751,0.226,23928.31365,-34.6456704
31.11,15.196082,241.6994751,0.226,23928.31365,-34.6456704
31.41,14.901593,241.6994751,0.226,23928.31365,-34.6456704
31.54,14.901593,225.2624672,0.211,24034.15354,-29.691602000000003
32.05,14.901593,209.5144357,0.196,24116.73228,-31.3648304
32.13,14.578673,209.5144357,0.196,24116.73228,-31.3648304
32.41,14.303606,209.5144357,0.196,24116.73228,-31.3648304
32.56,14.303606,192.4868766,0.18,24207.28346,-36.2860904
33.07,14.303606,174.9015748,0.164,24284.41601,-34.6456704
33.15,14.046791,174.9015748,0.164,24284.41601,-34.6456704
33.41,13.851167,174.9015748,0.164,24284.41601,-34.6456704
33.58,13.851167,157.644357,0.148,24356.43045,-34.6456704
34.09,13.655192,139.9606299,0.131,24411.28609,-37.9593188
34.41,13.486478,139.9606299,0.131,24411.28609,-37.9593188
34.6,13.486478,121.1942257,0.114,24466.24016,-42.9133872
35.11,13.486478,102.9855643,0.097,24513.54987,-34.6456704
35.19,13.345376,102.9855643,0.097,24513.54987,-34.6456704
35.62,13.25552,85.99081365,0.081,24553.1168,-34.6456704
36.13,13.25552,68.93044619,0.065,24578.31365,-36.2860904
36.41,13.141913,68.93044619,0.065,24578.31365,-36.2860904
36.41,24.566846,68.93044619,0.064,24578.31365,-36.2860904
37.15,24.566846,35.46587927,0.033,24610.1706,-31.3648304
37.47,24.566846,25.78740157,0.024,21406.46325,-1.64042
38.41,13.137701,25.78740157,0.024,21406.46325,-1.64042
39.49,13.137701,-5.741469816,-0.005,24611.35171,36.2860904
39.57,12.991802,-5.741469816,-0.005,24611.35171,36.2860904
40.41,13.409609,-5.741469816,-0.005,24611.35171,36.2860904
40.5,13.409609,-48.81889764,-0.046,24652.26378,6.5944884
41.51,13.409609,-38.94356955,-0.037,24535.10499,1.64042
42.41,13.351811,-38.94356955,-0.037,24535.10499,1.64042
42.84,13.351811,-93.667979,-0.088,24551.31234,6.5944884
42.91,13.861814,-93.667979,-0.088,24551.31234,6.5944884
43.84,13.861814,-154.9540682,-0.145,24408.30052,-23.0971136
43.92,14.19971,-154.9540682,-0.145,24408.30052,-23.0971136
44.85,14.19971,-154.855643,-0.145,24313.54987,100.6561712
44.93,15.290618,-154.855643,-0.145,24313.54987,100.6561712
45.86,15.290618,-93.20866142,-0.087,24007.64436,-18.1430452
45.94,14.874215,-93.20866142,-0.087,24007.64436,-18.1430452
46.87,14.874215,-143.667979,-0.135,24124.40945,-31.3648304
47.41,16.139219,-143.667979,-0.134,24124.40945,-31.3648304
47.88,16.139219,-81.75853018,-0.076,23769.68504,-19.7834652
47.96,15.916217,-81.75853018,-0.076,23769.68504,-19.7834652
48.89,15.916217,-80.08530184,-0.075,23832.21785,82.513126
48.97,16.398959,-80.08530184,-0.075,23832.21785,82.513126
49.9,16.763765,-169.652231,-0.159,23696.85039,49.5078756
50.91,16.763765,-208.1364829,-0.195,23594.55381,0.0
50.99,18.054743,-208.1364829,-0.194,23594.55381,0.0
51.92,18.054743,-154.0682415,-0.144,23232.54593,19.7834652
52.0,17.977055,-154.0682415,-0.144,23232.54593,19.7834652
52.93,17.977055,-145.7677165,-0.136,23254.33071,206.2336024
53.01,19.212458,-145.7677165,-0.136,23254.33071,206.2336024
53.94,18.748904,-82.05380577,-0.077,22907.90682,0.0
54.95,18.748904,-119.2257218,-0.111,23037.8937,183.1364888
55.03,19.804595,-119.2257218,-0.111,23037.8937,183.1364888
55.96,19.804595,-106.003937,-0.099,22741.86352,-11.5485568
56.04,19.724216,-106.003937,-0.099,22741.86352,-11.5485568
56.97,19.724216,-152.3950131,-0.142,22764.40289,-89.1076144
57.41,20.467166,-152.3950131,-0.142,22764.40289,-89.1076144
57.98,20.467166,-189.5341207,-0.176,22556.06955,171.587932
58.06,21.210701,-189.5341207,-0.176,22556.06955,171.587932
58.99,21.696836,-147.5721785,-0.137,22347.57218,6.5944884
60.0,21.696836,-117.0931759,-0.109,22211.25328,-108.8910796
60.08,22.117919,-117.0931759,-0.109,22211.25328,-108.8910796
61.01,22.117919,-102.4606299,-0.095,22093.17585,23.0971136
61.09,22.476641,-102.4606299,-0.095,22093.17585,23.0971136
62.02,22.476641,-101.7716535,-0.095,21992.5853,-31.3648304
62.41,22.816643,-101.7716535,-0.095,21992.5853,-31.3648304
63.03,22.816643,-112.5656168,-0.105,21897.24409,26.410762
63.11,23.250596,-112.5656168,-0.104,21897.24409,26.410762
64.04,23.250596,-113.6811024,-0.106,21775.55774,24.7375336
64.12,23.657639,-113.6811024,-0.105,21775.55774,24.7375336
65.05,23.657639,-105.8070866,-0.098,21661.41732,-13.1889768
65.13,24.047717,-105.8070866,-0.098,21661.41732,-13.1889768
66.06,24.382571,-101.2795276,-0.094,21552.03412,57.74278400000001
67.07,24.382571,-108.3005249,-0.1,21458.13648,-21.4566936
67.41,24.789029,-108.3005249,-0.1,21458.13648,-21.4566936
68.08,24.789029,-105.1509186,-0.097,21344.1601,-37.9593188
68.16,25.197827,-105.1509186,-0.097,21344.1601,-37.9593188
69.09,25.197827,-89.37007874,-0.083,21229.52756,18.1430452
69.17,25.481435,-89.37007874,-0.083,21229.52756,18.1430452
70.1,25.481435,-82.70997375,-0.077,21150.0,-8.2349084
70.18,25.802249,-82.70997375,-0.077,21150.0,-8.2349084
71.11,26.063393,-73.78608924,-0.068,21060.03937,6.5944884
72.12,26.063393,-61.71259843,-0.057,20986.81102,-9.9081368
72.41,26.284289,-61.71259843,-0.057,20986.81102,-9.9081368
73.13,26.284289,-62.27034121,-0.058,20924.86877,-4.9540684
73.21,26.470904,-62.27034121,-0.058,20924.86877,-4.9540684
74.14,26.470904,-73.58923885,-0.068,20872.53937,-8.2349084
74.22,26.78306,-73.58923885,-0.068,20872.53937,-8.2349084
75.15,26.78306,-67.74934383,-0.063,20785.00656,14.8622052
75.23,27.021155,-67.74934383,-0.063,20785.00656,14.8622052
76.16,27.021155,-56.3976378,-0.052,20718.24147,-29.691602000000003
76.24,27.210227,-56.3976378,-0.052,20718.24147,-29.691602000000003
77.17,27.210227,-58.03805774,-0.054,20665.2231,-9.9081368
77.41,27.410063,-58.03805774,-0.054,20665.2231,-9.9081368
78.18,27.410063,-64.69816273,-0.06,20609.18635,0.0
78.26,27.659858,-64.69816273,-0.06,20609.18635,0.0
79.19,27.659858,-63.87795276,-0.059,20539.14042,8.2349084
79.27,27.888593,-63.87795276,-0.059,20539.14042,8.2349084
80.2,27.888593,-56.3648294,-0.052,20475.0,-3.3136484
80.28,28.102001,-56.3648294,-0.052,20475.0,-3.3136484
81.21,28.102001,-52.52624672,-0.049,20415.15748,-1.64042
81.29,28.255739,-52.52624672,-0.049,20415.15748,-1.64042
82.22,28.255739,-63.61548556,-0.059,20372.04724,1.64042
82.41,28.499801,-63.61548556,-0.059,20372.04724,1.64042
83.23,28.771007,-70.93175853,-0.065,20303.60892,8.2349084
84.24,28.771007,-67.15879265,-0.062,20227.55906,3.3136484
84.32,29.002784,-67.15879265,-0.062,20227.55906,3.3136484
85.25,29.002784,-58.89107612,-0.054,20162.56562,1.64042
85.33,29.237837,-58.89107612,-0.054,20162.56562,1.64042
86.26,29.237837,-52.85433071,-0.049,20096.65354,-1.64042
86.34,29.378939,-52.85433071,-0.049,20096.65354,-1.64042
87.27,29.378939,-55.41338583,-0.051,20057.08661,-31.3648304
87.41,29.635052,-55.41338583,-0.051,20057.08661,-31.3648304
88.28,29.635052,-56.56167979,-0.052,19985.26903,11.5485568
88.36,29.76656,-56.56167979,-0.052,19985.26903,11.5485568
89.29,29.76656,-66.60104987,-0.061,19948.39239,11.5485568
89.37,30.079886,-66.60104987,-0.061,19948.39239,11.5485568
90.3,30.079886,-64.07480315,-0.059,19860.5315,-28.051182
90.38,30.263459,-64.07480315,-0.059,19860.5315,-28.051182
91.31,30.263459,-60.76115486,-0.056,19809.05512,-11.5485568
91.39,30.517466,-60.76115486,-0.056,19809.05512,-11.5485568
92.32,30.517466,-57.64435696,-0.053,19737.82808,-11.5485568
92.41,30.693083,-57.64435696,-0.053,19737.82808,-11.5485568
93.33,30.693083,-61.15485564,-0.056,19688.58268,3.3136484
93.41,30.926147,-61.15485564,-0.056,19688.58268,3.3136484
94.34,30.926147,-61.45013123,-0.057,19623.22835,0.0
94.41,31.162253,-61.45013123,-0.057,19623.22835,0.0
95.35,31.162253,-58.72703412,-0.054,19557.021,-1.64042
95.41,31.338572,-58.72703412,-0.054,19557.021,-1.64042
96.36,31.338572,-63.64829396,-0.059,19507.57874,-9.9081368
96.41,31.604279,-63.64829396,-0.059,19507.57874,-9.9081368
97.37,31.604279,-60.53149606,-0.056,19433.07087,8.2349084
97.41,31.804934,-60.53149606,-0.056,19433.07087,8.2349084
98.38,31.804934,-49.67191601,-0.046,19376.80446,-16.5026252
98.41,32.01413,-49.67191601,-0.046,19376.80446,-16.5026252
99.39,32.01413,-48.16272966,-0.044,19318.14304,-8.2349084
99.41,32.103401,-48.16272966,-0.044,19318.14304,-8.2349084
100.4,32.103401,-64.96062992,-0.06,19293.11024,14.8622052
100.41,32.42948,-64.96062992,-0.06,19293.11024,14.8622052
101.41,32.42948,-62.33595801,-0.057,19201.67323,-4.9540684
101.49,32.601938,-62.33595801,-0.057,19201.67323,-4.9540684
102.42,32.601938,-61.48293963,-0.057,19153.31365,-14.8622052
102.5,32.841437,-61.48293963,-0.057,19153.31365,-14.8622052
103.43,32.841437,-63.54986877,-0.058,19086.15486,23.0971136
103.51,33.071576,-63.54986877,-0.058,19086.15486,23.0971136
104.44,33.071576,-55.93832021,-0.051,19021.62073,9.9081368
104.52,33.287207,-55.93832021,-0.051,19021.62073,9.9081368
105.45,33.287207,-50.95144357,-0.047,18961.15486,-18.1430452
105.53,33.428309,-50.95144357,-0.047,18961.15486,-18.1430452
106.46,33.428309,-57.93963255,-0.053,18921.58793,16.5026252
107.41,33.674711,-57.93963255,-0.053,18921.58793,16.5026252
107.47,33.674711,-60.40026247,-0.055,18852.49344,-4.9540684
107.55,33.86624,-60.40026247,-0.055,18852.49344,-4.9540684
108.48,33.86624,-62.4343832,-0.057,18798.78609,-23.0971136
108.56,34.113461,-62.4343832,-0.057,18798.78609,-23.0971136
109.49,34.113461,-48.65485564,-0.045,18729.46194,-26.410762
109.57,34.321604,-48.65485564,-0.045,18729.46194,-26.410762
110.5,34.321604,-43.24146982,-0.04,18671.0958,4.9540684
110.58,34.351322,-43.24146982,-0.04,18671.0958,4.9540684
111.51,34.351322,-74.31102362,-0.068,18662.76247,-3.3136484
112.41,34.73672,-74.31102362,-0.068,18662.76247,-3.3136484
112.52,34.73672,-75.59055118,-0.069,18554.6916,-4.9540684
112.6,34.978442,-75.59055118,-0.069,18554.6916,-4.9540684
113.53,34.978442,-54.82283465,-0.05,18486.90945,-4.9540684
113.61,35.205773,-54.82283465,-0.05,18486.90945,-4.9540684
114.54,35.205773,-47.96587927,-0.044,18423.16273,14.8622052
114.62,35.292353,-47.96587927,-0.044,18423.16273,14.8622052
115.55,35.292353,-63.74671916,-0.058,18398.88451,-1.64042
115.63,35.60369,-63.74671916,-0.058,18398.88451,-1.64042
116.56,35.60369,-58.13648294,-0.053,18311.58136,-28.051182
117.41,35.793464,-58.13648294,-0.053,18311.58136,-28.051182
117.57,35.793464,-53.34645669,-0.049,18258.36614,-14.8622052
117.65,35.945096,-53.34645669,-0.049,18258.36614,-14.8622052
118.58,35.945096,-62.66404199,-0.057,18215.84646,31.3648304
118.66,36.230342,-62.66404199,-0.057,18215.84646,31.3648304
119.59,36.230342,-55.64304462,-0.051,18135.85958,-4.9540684
119.67,36.396833,-55.64304462,-0.051,18135.85958,-4.9540684
120.6,36.396833,-51.44356955,-0.047,18089.17323,-3.3136484
120.68,36.588596,-51.44356955,-0.047,18089.17323,-3.3136484
121.61,36.588596,-56.69291339,-0.052,18035.40026,-3.3136484
122.41,36.77837,-56.69291339,-0.052,18035.40026,-3.3136484
122.62,36.77837,-63.22178478,-0.058,17982.18504,-8.2349084
122.7,37.027346,-63.22178478,-0.058,17982.18504,-8.2349084
123.41,37.245317,-63.22178478,-0.058,17982.18504,-8.2349084
123.63,37.245317,-61.28608924,-0.056,17912.36877,1.64042
124.64,37.245317,-54.29790026,-0.05,17851.24672,0.0
124.72,37.443983,-54.29790026,-0.05,17851.24672,0.0
125.65,37.443983,-37.6312336,-0.034,17795.53806,-8.2349084
125.73,37.61024,-37.6312336,-0.034,17795.53806,-8.2349084
126.66,37.61024,-69.91469816,-0.064,17748.91732,24.7375336
128.41,38.014475,-69.91469816,-0.064,17748.91732,24.7375336
128.68,38.014475,-38.77952756,-0.035,17635.5643,-14.8622052
128.76,38.279246,-38.77952756,-0.035,17635.5643,-14.8622052
129.69,38.279246,-38.81233596,-0.035,17561.3189,-21.4566936
129.77,38.27246,-38.81233596,-0.035,17561.3189,-21.4566936
130.7,38.27246,-64.59973753,-0.059,17563.22178,-18.1430452
130.78,38.615504,-64.59973753,-0.059,17563.22178,-18.1430452
131.71,38.615504,-72.17847769,-0.066,17467.02756,-13.1889768
131.79,38.840261,-72.17847769,-0.066,17467.02756,-13.1889768
132.72,38.840261,-66.92913386,-0.061,17404.00262,1.64042
133.41,39.096257,-66.92913386,-0.061,17404.00262,1.64042
133.73,39.319961,-58.75984252,-0.054,17332.21785,-3.3136484
134.74,39.319961,-48.58923885,-0.044,17269.48819,-8.2349084
134.82,39.46001,-48.58923885,-0.044,17269.48819,-8.2349084
135.75,39.46001,-56.69291339,-0.052,17230.21654,-18.1430452
135.83,39.664643,-56.69291339,-0.052,17230.21654,-18.1430452
136.76,39.664643,-63.35301837,-0.058,17172.83465,3.3136484
136.84,39.931988,-63.35301837,-0.058,17172.83465,3.3136484
137.77,39.931988,-57.15223097,-0.052,17097.86745,-3.3136484
138.41,40.096022,-57.15223097,-0.052,17097.86745,-3.3136484
138.78,40.096022,-59.18635171,-0.054,17051.87008,-4.9540684
138.86,40.334234,-59.18635171,-0.054,17051.87008,-4.9540684
139.79,40.334234,-56.66010499,-0.052,16985.07218,-9.9081368
139.87,40.540622,-56.66010499,-0.052,16985.07218,-9.9081368
140.8,40.540622,-51.24671916,-0.047,16927.19816,-11.5485568
140.88,40.705358,-51.24671916,-0.047,16927.19816,-11.5485568
141.81,40.705358,-53.44488189,-0.049,16881.00394,14.8622052
141.89,40.912565,-53.44488189,-0.049,16881.00394,14.8622052
142.82,40.912565,-61.08923885,-0.056,16822.90026,-4.9540684
142.9,41.099765,-61.08923885,-0.056,16822.90026,-4.9540684
143.83,41.406071,-64.14041995,-0.058,16770.40682,-19.7834652
144.84,41.406071,-49.01574803,-0.045,16684.51444,-4.9540684
144.92,41.512424,-49.01574803,-0.045,16684.51444,-4.9540684
145.85,41.512424,-55.34776903,-0.05,16654.6916,-11.5485568
145.93,41.716472,-55.34776903,-0.05,16654.6916,-11.5485568
146.86,41.716472,-68.11023622,-0.062,16597.47375,24.7375336
146.94,41.998325,-68.11023622,-0.062,16597.47375,24.7375336
